Unnamed: 0,book_id,book_name,author_name,num_tokens
1,28531,"The Banner Boy Scouts Snowbound; or, A Tour on Skates and Iceboats",Warren,74765
2,22521,The Young Acrobat of the Great North American Circus,Jr. Horatio Alger,71061
3,40614,Gabrielle of the Lagoon: A Romance of the South Seas,W. H. Myddleton,114634
4,2057,The Last of the Plainsmen,Zane Grey,100830
5,1969,Catherine: A Story,William Makepeace Thackeray,99252
6,36314,The Radio Boys Rescue the Lost Alaska Expedition,Gerald Breckenridge,69373
7,434,The Circular Staircase,Mary Roberts Rinehart,99822
8,708,The Princess and the Goblin,George MacDonald,73378
9,36671,A House Party with the Tucker Twins,Nell Speed,77070
10,38619,A Terrible Tomboy,Angela Brazil,115311
11,8805,From One Generation to Another,Henry Seton Merriman,89042
12,12590,The Shadow of the Rope,E. W. Hornung,106847
13,767,Agnes Grey,Anne Brontë,96426
14,74670,"Loved and lost :  or, A deadly secret",Bertha M. Clay,101514
15,16207,Adèle Dubois,Mrs. William T. Savage,84028
16,10339,An Antarctic Mystery,Jules Verne,113825
17,30452,"Astounding Stories,  April, 1931",Various,117416
18,67215,A United States Midshipman Afloat,Yates Stirling,91473
19,27920,Ben Comee,M. J. Canavan,68507
20,20208,"Boy Scouts in the Philippines; Or, The Key to the Treaty Box",G. Harvey Ralphson,69835
21,55,The Wonderful Wizard of Oz,L. Frank Baum,55112
22,32524,A Fourth Form Friendship: A School Story,Angela Brazil,93899
23,42109,The Dull Miss Archinard,Anne Douglas Sedgwick,97117
24,48336,In Search of Mademoiselle,George Gibbs,119861
25,6334,"Sara, a Princess: The Story of a Noble Girl",Fannie E. Newberry,101447
26,1605,The Crock of Gold,James Stephens,78639
27,74780,The illustrious Dr. Mathéus,Erckmann-Chatrian,77034
28,74626,Everybody's business,Agnes Giberne,82971
29,2196,An Iceland Fisherman,Pierre Loti,80111
30,30166,"Astounding Stories, March, 1931",Various,119857
31,9862,City of Endless Night,Milo Hastings,114752
32,22163,"The Rover Boys on the Farm; or, Last Days at Putnam Hall",Edward Stratemeyer,71396
33,70877,The mystery at lovers' cave,Anthony Berkeley,103686
34,5341,Kilmeny of the Orchard,L. M. Montgomery,56935
35,13384,The Covered Wagon,Emerson Hough,124862
36,27300,"The Young Adventurer; or, Tom's Trip Across the Plains",Jr. Horatio Alger,64361
37,29818,The Plunderer,Roy Norton,91206
38,170,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,87944
39,832,Robin Hood,J. Walker McSpadden,88439
40,12611,The Regent,Arnold Bennett,121996
41,56085,The Silver Princess in Oz,Ruth Plumly Thompson,53877
42,4383,Maria Chapdelaine: A Tale of the Lake St. John Country,Louis Hémon,65806
43,68903,The land of mist,Arthur Conan Doyle,110514
44,30278,Friars and Filipinos,José Rizal,124057
45,4082,The Barrier,Rex Beach,125007
46,37286,Tales From Jókai,Mór Jókai,125599
47,19877,Jack Haydon's Quest,John Finnemore,121622
48,7464,The Adventures of Sally,P. G. Wodehouse,109905
49,81,The Return of Tarzan,Edgar Rice Burroughs,120948
50,775,When the Sleeper Wakes,H. G. Wells,115632
51,36423,"The Pony Rider Boys in the Alkali; Or, Finding a Key to the Desert Maze",Patchin,71569
52,33409,The Ranch Girls at Rainbow Lodge,Margaret Vandercook,78028
53,20712,Trail's End,George W. Ogden,117858
54,47531,"Oliver Twist, Vol. 3 (of 3)",Charles Dickens,77820
55,29877,The Million-Dollar Suitcase,Alice MacGowan and Perry Newberry,120132
56,106,Jungle Tales of Tarzan,Edgar Rice Burroughs,103655
57,16454,The Upas Tree: A Christmas Story for all the Year,Florence L. Barclay,64120
58,31485,The Blue Goose,Frank Lewis Nason,89854
59,26527,Judith of the Cumberlands,Alice MacGowan,111766
60,9806,Mr. Justice Raffles,E. W. Hornung,91834
61,25102,Nobody's Boy,Hector Malot,122052
62,10005,A Voyage to the Moon,George Tucker,99295
63,13168,Dick in the Everglades,A. W. Dimock,103573
64,39254,Held by Chinese Brigands,Charles Gilson,102529
65,2804,Rose in Bloom,Louisa May Alcott,126390
66,2640,St. Martin's Summer,Rafael Sabatini,125679
67,70788,"The ""Canary"" murder case",S. S. Van Dine,125517
69,1832,The Case of the Lamp That Went Out,Auguste Groner,58481
70,68277,The blood of the vampire,Florence Marryat,126451
71,17985,Tom Swift and The Visitor from Planet X,II Victor Appleton,53010
72,41589,Lyre and Lancet: A Story in Scenes,F. Anstey,79886
73,965,The black tulip,Alexandre Dumas and Auguste Maquet,105137
74,51263,The Scarecrow of Oz,L. Frank Baum,67048
75,43659,"The Old Woman Who Lived in a Shoe; Or, There's No Place Like Home",Douglas,119090
76,134,"Maria; Or, The Wrongs of Woman",Mary Wollstonecraft,65812
77,3795,Under the Lilacs,Louisa May Alcott,113561
78,39995,For the Soul of Rafael,Marah Ellis Ryan,110343
80,19231,The mummy and Miss Nitocris : a phantasy of the fourth dimension,Griffith,110542
81,1152,The Story of the Volsungs (Volsunga Saga); with Excerpts from the Poetic Edda,unknown,88753
82,7371,A Sicilian Romance,Ann Ward Radcliffe,95671
83,24929,The Green Rust,Edgar Wallace,116789
84,17455,The Poison Tree: A Tale of Hindu Life in Bengal,Bankimacandra Cattopadhyaya,72753
85,31718,The Rosie World,Parker Fillmore,115090
86,30852,The Tin Woodman of Oz,L. Frank Baum,64668
87,5746,The Ancient Allan,H. Rider Haggard,119765
88,29919,"Astounding Stories of Super-Science, November, 1930",Various,111081
89,50358,The Oxford Circus: A Novel of Oxford and Youth,Hamish Miles and Raymond Mortimer,52761
90,2763,The World's Desire,H. Rider Haggard and Andrew Lang,119980
91,3055,The Wood Beyond the World,William Morris,71559
92,1167,A Strange Disappearance,Anna Katharine Green,70749
93,11640,Love and Mr. Lewisham,H. G. Wells,97599
94,74428,"Straight forward; or, walking in the light :  a story for school girls of all…",unknown,81266
95,18786,Treachery in Outer Space,Carey Rockwell,69380
96,92,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,91164
97,31772,"Si Klegg, Book 2",John McElroy,85363
98,40073,A Lively Bit of the Front: A Tale of the New Zealand Rifles on the Western…,unknown,98379
99,394,Cranford,Elizabeth Cleghorn Gaskell,101201
100,46547,A Voyage to the Moon,Cyrano de Bergerac,63180
101,8169,"Gargantua and Pantagruel, Illustrated, Book 4",François Rabelais,104507
102,36007,Ethel Morton and the Christmas Ship,Mabell S. C. Smith,80271
103,36080,A Fortunate Term,Angela Brazil,97793
104,20612,Fort Amity,Arthur Quiller-Couch,107493
105,1355,"The Underground City; Or, The Black Indies",Jules Verne,62881
106,8166,"Gargantua and Pantagruel, Illustrated, Book 1",François Rabelais,102125
107,13511,The Daughter of the Commandant,Aleksandr Sergeevich Pushkin,61686
108,27991,The Blue Bird for Children,Georgette Leblanc and Maurice Maeterlinck,50884
109,3070,The Hound of the Baskervilles,Arthur Conan Doyle,82075
110,47003,Dimbie and I—and Amelia,Mabel Barnes-Grundy,116377
111,63849,Bambi,Felix Salten,67525
112,46276,The Treasure of Pearls: A Romance of Adventures in California,Gustave Aimard,109004
113,496,The Little Lame Prince,Dinah Maria Mulock Craik,64706
114,605,Pellucidar,Edgar Rice Burroughs,78113
115,3781,The Jewel of Seven Stars,Bram Stoker,123671
116,17263,The Astonishing History of Troy Town,Arthur Quiller-Couch,110974
117,1634,The Foolish Virgin,Jr. Thomas Dixon,90893
118,16389,The Enchanted April,Elizabeth Von Arnim,111087
119,30776,Materials and Methods of Fiction,Clayton Meeker Hamilton,103774
120,36629,Hope Hathaway: A Story of Western Ranch Life,Frances Parker,98682
121,2948,Where Angels Fear to Tread,E. M. Forster,72043
122,17680,The Title Market,Emily Post,112350
123,19946,Villa Elsa,Stuart Oliver Henry,88069
124,22759,The English at the North Pole,Jules Verne,93899
125,30482,The International Spy,Allen Upward,91322
126,42681,"The Hero of the People: A Historical Romance of Love, Liberty and Loyalty",Dumas,112040
127,67085,Icelandic Fairy Tales,Mrs. Angus W. Hall,92001
128,32596,The Revolt of the Angels,Anatole France,106876
129,14818,The Daughter of Anderson Crow,George Barr McCutcheon,114190
130,18545,A Mummer's Tale,Anatole France,73056
131,325,Phantastes: A Faerie Romance for Men and Women,George MacDonald,96135
132,42835,Tommy Tregennis,Mary Elizabeth Phillips,71641
133,35141,The Plowshare and the Sword: A Tale of Old Quebec,John Trevena,125633
134,848,The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,117885
135,66864,Moving the Mountain,Charlotte Perkins Gilman,70736
136,2014,The Lodger,Marie Belloc Lowndes,112539
137,62,A Princess of Mars,Edgar Rice Burroughs,90790
138,10443,The Rayner-Slade Amalgamation,J. S. Fletcher,116613
139,40430,In the Saddle,Oliver Optic,115454
