title,book_name,author,num_chapters,num_tokens,cleaned?,summary_generate,outline,processed,pub_year,num_claims,genres,summary,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
A Journey to the Centre of the Earth,18857,Jules Verne,44,119402,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
The Magic City,20606,E. Nesbit,12,86193,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Amity,20612,Arthur Quiller-Couch,29,107493,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Torchy, Private Sec.",20627,Sewell Ford,19,112596,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Torchy and Vee,20628,Sewell Ford,17,103790,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Trail's End,20712,George W. Ogden,28,117858,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl on the Boat,20717,P. G. Wodehouse,17,99724,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Triplanetary,20782,E. E. Smith,13,83909,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
"The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports",20789,Hancock,24,75765,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
The Skylark of Space,20869,E. E. Smith and Lee Hawkins Garby,19,120374,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Slade with the Colors,20986,Percy Keese Fitzhugh,27,61099,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
On the Trail of the Space Pirates,21092,Carey Rockwell,20,76775,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Randy of the River; Or, The Adventures of a Young Deckhand",21416,Jr. Horatio Alger,32,75079,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy,21510,James H. Schmitz,29,111927,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
The Angel of Terror,21530,Edgar Wallace,41,89206,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrano the Conqueror,21638,Ray Cummings,37,95974,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
The Woman in Black,21854,E. C. Bentley,16,95805,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
"The Rover Boys at Colby Hall; or, The Struggles of the Young Cadets",21894,Stratemeyer,30,88522,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
"The Rover Boys on the Farm; or, Last Days at Putnam Hall",22163,Edward Stratemeyer,30,71396,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Street,22194,James Hugh Richardson,25,116479,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Maya the Bee,22354,Waldemar Bonsels,17,55799,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Merriwell's Bravery,22571,Burt L. Standish,46,114203,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
"The Boy Scout Treasure Hunters; Or, The Lost Treasure of Buffalo Hollow",22644,Lerrigo,21,69099,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
The Doctor of Pimlico: Being the Disclosure of a Great Crime,22654,William Le Queux,32,85919,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
The Minister of Evil: The Secret History of Rasputin's Betrayal of Russia,22720,unknown,15,117848,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruth Fielding and the Gypsies; Or, The Missing Pearl Necklace",22743,Alice B. Emerson,25,65287,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwork: A Story of 'The Plain People',22827,Anna Balmer Myers,37,113847,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chester Rand; or, The New Path to Fortune",23108,Jr. Horatio Alger,41,81992,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond Dantès,23183,Edmund Flagg,31,124896,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
The Youth of Jefferson,23283,John Esten Cooke,30,86487,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Marjorie's Busy Days,23531,Carolyn Wells,20,80097,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter and the Wireless,23728,Sara Ware Bassett,20,85853,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
The Governess,23778,Julie M. Lippmann,21,100761,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
