facts,corrupted_facts,fact_reasoning,corrupted_reasoning,source,brainstorm,duplication,duplication_reasoning
"Wilford Heaton, who inherited an income of nearly £2000 a year at age 25, becomes blind due to a disease contracted in Florence at the same age.","Wilford Heaton, who inherited an income of nearly £2000 a year at age 25, becomes blind due to a disease contracted in Rome at age 30.","The outline items show a clear temporal relationship between Heaton's inheritance and his blindness, both occurring at age 25. The fact combines these two significant events in Heaton's life, highlighting the dramatic change from financial security to physical disability.","This corrupted fact changes the location of disease contraction from Florence to Rome and alters the age of blindness onset from 25 to 30, contradicting the specific details provided in the chapter outline.","Chapter 1 (Items 1, 2)","- Chapter 1, item 1: Wilford Heaton inherits an income of nearly £2000 a year at age 25
- Chapter 1, item 2: Heaton contracts a disease in Florence, leading to his blindness at age 25
- Relationship: Temporal and causal",Unique,Valid claim
"After returning to London with his friend Dick Doyle, Wilford Heaton adapts to his blindness by learning to read Braille and make baskets in his Essex Street rooms.","After returning to London with his friend Dick Doyle, Wilford Heaton adapts to his blindness by learning to paint and play the piano in his Essex Street rooms.","This fact combines two aspects of Heaton's life after becoming blind: his return to London and his efforts to adapt to his new condition. It shows the specific steps Heaton takes to cope with his blindness, demonstrating his resilience and determination.","This corrupted fact replaces the specific activities of reading Braille and basket-making with painting and playing the piano, which are not mentioned in the chapter outline.",Chapter 1 (Item 3),"- Chapter 1, item 3: Heaton returns to London with his friend Dick Doyle
- Chapter 1, item 3: Heaton learns to read Braille and make baskets in his Essex Street rooms
- Relationship: Adaptation to blindness",Unique,Valid claim
"Despite his recent blindness, Wilford Heaton insists that his friend Dick Doyle accept a commission as a war correspondent in India, demonstrating selflessness in the face of his own challenging circumstances.","Despite his recent blindness, Wilford Heaton begs Dick Doyle to reject a commission as a war correspondent in India, fearing being left alone in his condition.","This fact highlights the contrast between Heaton's difficult situation and his willingness to encourage his friend's career advancement. It demonstrates Heaton's character and the strength of their friendship, while providing specific details about Doyle's new opportunity.","This corrupted fact contradicts Heaton's actual response to Doyle's opportunity, changing his selfless insistence to a selfish plea, which is not supported by the chapter outline.",Chapter 1 (Item 4),"- Chapter 1, item 4: Dick Doyle receives a commission as a war correspondent in India
- Chapter 1, item 4: Heaton insists that Doyle should go, despite his own condition
- Relationship: Heaton's selflessness",Unique,Valid claim
"Following a period of depression after Dick Doyle's departure, Wilford Heaton begins to adapt to his blindness by practicing walking alone on the Embankment with Mrs. Parker's assistance as summer approaches.","Following a period of depression after Dick Doyle's departure, Wilford Heaton begins to adapt to his blindness by taking up horseback riding in Hyde Park with Mrs. Parker's assistance as winter sets in.","This fact combines two temporally related events from the chapter outline, showing Heaton's emotional and physical progression. It demonstrates how Heaton moves from a state of depression to actively working on his independence, with specific details about his walking practice and Mrs. Parker's role.","This corrupted fact replaces walking on the Embankment with horseback riding in Hyde Park, and changes the season from summer to winter, contradicting the specific details provided in the chapter outline.","Chapter 1 (Items 5, 6)","- Chapter 1, item 5: Heaton becomes depressed in Doyle's absence
- Chapter 1, item 6: As summer approaches, Heaton begins practicing walking alone on the Embankment with Mrs. Parker's help
- Relationship: Temporal and emotional progression",Unique,Valid claim
Wilford Heaton progresses from practicing walking on the Embankment with Mrs. Parker's assistance to becoming proficient in navigating the area alone using his stick for guidance after several weeks of dedicated practice.,Wilford Heaton progresses from practicing walking on the Embankment with Mrs. Parker's assistance to becoming an expert guide for other blind individuals in the area after just a few days of practice.,"This fact demonstrates Heaton's development of independence over time, showing his progression from needing assistance to being able to walk alone. It includes specific details about the location (the Embankment), the duration of practice (several weeks), and the tool used for guidance (his stick).","This corrupted fact exaggerates Heaton's progress, changing his proficiency in walking alone to becoming an expert guide, and alters the timeframe from several weeks to a few days, contradicting the specific details in the chapter outline.","Chapter 1 (Items 6, 7)","- Chapter 1, item 6: Heaton begins practicing walking alone on the Embankment with Mrs. Parker's help
- Chapter 1, item 7: After several weeks of practice, Heaton becomes proficient in walking alone on the Embankment, using his stick for guidance
- Relationship: Skill development over time",Unique,Valid claim
"The blind narrator, venturing beyond his usual route during an evening walk in London, is knocked down by a cab while crossing a road in an unfamiliar area.","The blind narrator, staying within his usual route during an evening walk in London, is knocked down by a cab while crossing a familiar road.",This fact combines two closely related events from Chapter 2. The narrator's decision to venture beyond his usual route (item 1) directly leads to him being in an unfamiliar area where he is knocked down by a cab (item 2). This causal relationship highlights the consequences of the narrator's actions and the dangers he faces due to his blindness.,"This corrupted fact contradicts the original by stating that the narrator stayed within his usual route and was on a familiar road, which goes against the information provided in the chapter outline.","Chapter 2 (Items 1, 2)","- Chapter 2, item 1: The blind narrator takes an evening walk alone in London, venturing beyond his usual route.
- Chapter 2, item 2: The narrator is knocked down by a cab while crossing a road in an unfamiliar area.
- Relationship: Causal",Unique,Valid claim
"After regaining consciousness in an unknown location, the blind narrator is tended to by a woman disguising her voice, who then asks him to sign her birthday book, which he does despite his blindness.","After regaining consciousness in an unknown location, the blind narrator is tended to by a woman speaking normally, who then asks him to read her birthday book aloud.","This fact combines two sequential events from Chapter 2. The narrator first regains consciousness and is tended to by a woman disguising her voice (item 3), followed by her request for him to sign her birthday book (item 4). The fact highlights the unusual situation the narrator finds himself in and the mysterious nature of the woman's actions.","This corrupted fact changes key details: the woman is not disguising her voice, and she asks the narrator to read the book aloud instead of signing it, which would be impossible for a blind person.","Chapter 2 (Items 3, 4)","- Chapter 2, item 3: The narrator regains consciousness in an unknown location, tended to by a woman disguising her voice.
- Chapter 2, item 4: The woman asks the narrator to sign her birthday book, which he does despite his blindness.
- Relationship: Sequential",Unique,Valid claim
"The blind narrator hears piano music from an adjoining room, followed by the sound of breaking glass and a woman's scream, which precedes a violent struggle between two individuals that moves into the room where he is lying.","The blind narrator hears violin music from an adjoining room, followed by the sound of applause and laughter, which precedes a friendly conversation between two individuals that moves into the room where he is lying.",This fact combines two closely related events from Chapter 2. The sequence of sounds the narrator hears (item 5) is immediately followed by and likely causes the violent struggle (item 6). This temporal and causal relationship emphasizes the escalating tension and danger in the narrator's surroundings.,"This corrupted fact changes multiple key details: the instrument played, the nature of the sounds heard, and the type of interaction that follows, completely altering the tense and dangerous atmosphere described in the original outline.","Chapter 2 (Items 5, 6)","- Chapter 2, item 5: The narrator hears piano music from an adjoining room, followed by the sound of breaking glass and a woman's scream.
- Chapter 2, item 6: A violent struggle ensues between two individuals, moving into the room where the narrator is lying.
- Relationship: Temporal and causal",Unique,Valid claim
"During the violent struggle between two individuals that moves into the room where the blind narrator is lying, one person is stabbed and falls onto him, leaving the narrator in direct contact with the bleeding body.","During a heated argument between two individuals that moves into the room where the blind narrator is lying, one person faints and falls near him, leaving the narrator unaffected by the incident.","This fact combines two sequential and causally related events from Chapter 2. The violent struggle (item 6) directly leads to one person being stabbed and falling onto the narrator (item 7). This sequence of events emphasizes the intensity of the situation and the narrator's physical involvement in the violent outcome, despite his blindness.","This corrupted fact changes the nature of the interaction from a violent struggle to a heated argument, replaces the stabbing with fainting, and eliminates the narrator's direct contact with the fallen person, significantly altering the dramatic and dangerous nature of the events described in the original outline.","Chapter 2 (Items 6, 7)","- Chapter 2, item 6: A violent struggle ensues between two individuals, moving into the room where the narrator is lying.
- Chapter 2, item 7: One person is stabbed and falls onto the narrator, leaving him in contact with the bleeding body.
- Relationship: Sequential and causal",Unique,Valid claim
"The narrator, upon discovering a dead body in a luxurious room, hides it under a couch and then examines it, taking a shirt stud and pencil-case as potential clues.","The narrator, upon discovering a dead body in a luxurious room, immediately calls the police and hands over a shirt stud and pencil-case as evidence.","This fact combines two related events from Chapter 3. The narrator first finds the dead body and hides it, then proceeds to examine it and take items as clues. This sequence of actions shows the narrator's attempt to gather information about the mysterious situation while concealing evidence.","This corrupted fact contradicts the original outline by stating that the narrator calls the police instead of hiding the body, and it misrepresents the narrator's actions with the clues.","Chapter 3 (Items 1, 3)","- Chapter 3, item 1: The narrator finds himself with a dead body in a luxurious room and hides it under a couch.
- Chapter 3, item 3: The narrator examines the dead man's body and takes a shirt stud and pencil-case as potential clues.
- Relationship: Temporal and causal",Unique,Valid claim
