facts,corrupted_facts,fact_reasoning,corrupted_reasoning,source,brainstorm
"After discovering that Harry had lost ninety thousand dollars at the roulette wheel, Paul takes his brother's place and wins back the entire sum over six hours of play.","After discovering that Harry had lost ninety thousand dollars at the roulette wheel, Paul takes his brother's place and loses an additional fifty thousand dollars over six hours of play.","This fact combines two specific events from Chapter 1, showing a clear temporal and causal relationship. Paul's action of taking Harry's place at the roulette table is directly motivated by Harry's substantial loss, and the outcome of Paul's play is explicitly stated.","This corrupted fact changes the outcome of Paul's play from winning back the money to losing more, which contradicts the information provided in the chapter outline.","Chapter 1 (Items 2, 3)","- Chapter 1, item 2: Paul finds his brother Harry at a roulette wheel, having lost ninety thousand dollars.
- Chapter 1, item 3: Paul takes Harry's place at the roulette table and wins back the money over six hours of play.
- Relationship: Temporal and causal"
"Paul first learns about Desiree Le Mire during his European travels to London, Munich, and Madrid, and later encounters her in person at a train station.","Paul first learns about Desiree Le Mire at a train station in Madrid, where he encounters her during his European travels.","This fact combines information from two separate items in Chapter 1, establishing a clear temporal relationship between Paul's initial knowledge of Desiree Le Mire and his subsequent encounter with her. It demonstrates how Paul's European travels led to his awareness of Desiree before their physical meeting.","This corrupted fact incorrectly combines the locations and events, suggesting that Paul both learned about and met Desiree at the same time and place, which contradicts the sequence of events in the chapter outline.","Chapter 1 (Items 5, 7)","- Chapter 1, item 5: Paul sails for Europe, visiting London, Munich, and Madrid, where he learns about Desiree Le Mire.
- Chapter 1, item 7: Paul encounters Desiree Le Mire at the train station.
- Relationship: Temporal and causal"
"Upon entering Mercer's gambling establishment on Fifth Avenue, Paul Lamar discovers his brother Harry at a roulette wheel, where Harry has lost ninety thousand dollars.","Upon entering Mercer's gambling establishment on Fifth Avenue, Paul Lamar discovers his brother Harry winning ninety thousand dollars at a blackjack table.","This fact combines two consecutive events from Chapter 1, showing a clear temporal and causal relationship. Paul's entry into the gambling establishment directly leads to his discovery of Harry's substantial loss at the roulette wheel.","This corrupted fact changes multiple details: the game Harry is playing (blackjack instead of roulette), his fortune (winning instead of losing), and the amount of money involved (winning instead of losing ninety thousand dollars).","Chapter 1 (Items 1, 2)","- Chapter 1, item 1: Paul Lamar enters Mercer's gambling establishment on Fifth Avenue.
- Chapter 1, item 2: Paul finds his brother Harry at a roulette wheel, having lost ninety thousand dollars.
- Relationship: Temporal and causal"
"After winning back Harry's lost money over six hours of roulette play, Paul drives his brother home, sends him to bed, and spends the next day reflecting on their relationship.","After winning back Harry's lost money over six hours of roulette play, Paul celebrates with his brother at a local bar before reflecting on their relationship the next day.","This fact combines three events from Chapter 1 in chronological order, showing a clear temporal relationship. It demonstrates the sequence of Paul's actions following his successful gambling session and how these events lead to his reflection on his relationship with Harry.","This corrupted fact introduces a celebration at a bar, which is not mentioned in the chapter outline, and omits the specific details of Paul driving Harry home and sending him to bed.","Chapter 1 (Items 3, 4)","- Chapter 1, item 3: Paul takes Harry's place at the roulette table and wins back the money over six hours of play.
- Chapter 1, item 4: Paul drives Harry home and sends him to bed, then reflects on their relationship the next day.
- Relationship: Temporal"
"During his European travels, Paul visits London, Munich, and Madrid before continuing to Rome and Paris, where he stays with his friend Pierre Janvour and his family.","During his European travels, Paul visits Berlin, Vienna, and Barcelona before continuing to Athens and Moscow, where he stays with his friend Pierre Janvour and his family.","This fact combines information from two items in Chapter 1, establishing a clear temporal and geographical progression of Paul's European journey. It specifies the cities he visits and includes the detail about his stay with Pierre Janvour in Paris.","This corrupted fact changes all the cities Paul visits, including the location where he stays with Pierre Janvour, which contradicts the specific information provided in the chapter outline.","Chapter 1 (Items 5, 6)","- Chapter 1, item 5: Paul sails for Europe, visiting London, Munich, and Madrid.
- Chapter 1, item 6: Paul travels to Rome and Paris, staying with his friend Pierre Janvour and his family.
- Relationship: Temporal and geographical"
"After attending a tea with Desiree Le Mire at her hotel apartment, Harry informs the narrator that he's going away for an indefinite period.","After attending a tea with Desiree Le Mire at her hotel apartment, Harry informs the narrator that he's staying in town indefinitely.","In Chapter 2, the narrator and Harry attend a tea with Desiree Le Mire at her hotel apartment. Following this event, Harry informs the narrator of his plans to leave for an indefinite period. The temporal sequence and the implication of a causal relationship between these two events suggest that Harry's decision to leave may be influenced by his encounter with Desiree Le Mire.","This corrupted fact contradicts the original outline by stating that Harry is staying in town indefinitely, rather than going away for an indefinite period.","Chapter 2 (Items 2, 3)","- Chapter 2, item 2: The narrator and Harry attend a tea with Desiree Le Mire at her hotel apartment.
- Chapter 2, item 3: Harry informs the narrator that he's going away for an indefinite period.
- Relationship: Temporal and causal"
"The narrator attends Desiree Le Mire's scheduled performance at the Stuyvesant theater, but she fails to appear.","The narrator attends Desiree Le Mire's scheduled performance at the Stuyvesant theater, where she gives a spectacular show.","Chapter 2 outlines that the narrator attends Le Mire's scheduled performance at the Stuyvesant theater. However, the subsequent item reveals that Le Mire fails to appear at this performance. This fact highlights the unexpected turn of events and the mystery surrounding Le Mire's disappearance.","This corrupted fact contradicts the original outline by stating that Le Mire performs at the theater, when in fact she fails to appear.","Chapter 2 (Items 4, 5)","- Chapter 2, item 4: The narrator attends Le Mire's scheduled performance at the Stuyvesant theater.
- Chapter 2, item 5: Le Mire fails to appear at the performance.
- Relationship: Temporal and contradictory expectations"
"After Desiree Le Mire fails to appear at her scheduled performance, the theater manager announces that she has disappeared without a trace since her rehearsal on Thursday.","After Desiree Le Mire fails to appear at her scheduled performance, the theater manager announces that she has been seen in Paris since her rehearsal on Thursday.","Chapter 2 outlines that Le Mire fails to appear at her scheduled performance. Following this, the theater manager provides additional information, announcing that Le Mire has been missing since her rehearsal on Thursday. This fact connects the two events, showing the progression from Le Mire's absence at the performance to the revelation of her disappearance.","This corrupted fact contradicts the original outline by stating that Le Mire has been seen in Paris, rather than disappearing without a trace.","Chapter 2 (Items 5, 6)","- Chapter 2, item 5: Le Mire fails to appear at the performance.
- Chapter 2, item 6: The theater manager announces that Le Mire has disappeared without a trace since her rehearsal on Thursday.
- Relationship: Elaboration and temporal"
"After confiding in his friend Billy Du Mont about Harry's disappearance with Le Mire, the narrator investigates and discovers that Harry bought tickets to Denver.","After confiding in his friend Billy Du Mont about Harry's disappearance with Le Mire, the narrator investigates and discovers that Harry bought tickets to New York.","Chapter 2 outlines that the narrator confides in Billy Du Mont about Harry's disappearance with Le Mire. Subsequently, the narrator conducts an investigation, which leads to the discovery that Harry bought tickets to Denver. This fact demonstrates the narrator's active role in trying to locate Harry and Le Mire, and provides a concrete lead in their disappearance.","This corrupted fact changes the destination of Harry's tickets from Denver to New York, which contradicts the information provided in the original outline.","Chapter 2 (Items 6, 7)","- Chapter 2, item 6: The narrator confides in his friend Billy Du Mont about Harry's disappearance with Le Mire at a club.
- Chapter 2, item 7: The narrator investigates and discovers that Harry bought tickets to Denver.
- Relationship: Causal and investigative"
"After learning in Denver that Harry and Le Mire had left for Colorado Springs, the narrator pursued them to Manitou and then up Pike's Peak.","After learning in Denver that Harry and Le Mire had left for Colorado Springs, the narrator decided to return home instead of pursuing them.","This fact combines information from items 1 and 2 of Chapter 3, showing the narrator's progression in following Harry and Le Mire. It demonstrates a clear temporal and causal relationship between the narrator's actions based on the information he receives.","This corrupted fact contradicts the narrator's actual actions as described in the chapter outline, where he continues to pursue Harry and Le Mire.","Chapter 3 (Items 1, 2)","- Chapter 3, item 1: The narrator arrives in Denver and learns Harry and Le Mire have left for Colorado Springs.
- Chapter 3, item 2: The narrator follows them to Colorado Springs, discovers they've gone to Manitou, and pursues them up Pike's Peak.
- Relationship: Temporal and causal"
