facts,corrupted_facts,fact_reasoning,corrupted_reasoning,source,brainstorm,duplication,duplication_reasoning
"After being awakened by a crash that indicated their ship had hit something, Jack and Bob Lakewood helped a young woman evacuate and made their way to the deck.","After being awakened by a crash that indicated their ship had hit something, Jack and Bob Lakewood immediately went to the captain's quarters to report the incident.","The outline items show a clear sequence of events. The brothers are first awakened by the crash, then they proceed to help a young woman evacuate, demonstrating their immediate response to the emergency situation.","This corrupted fact changes the brothers' immediate action from helping a young woman evacuate to reporting to the captain, which is not mentioned in the outline.","Chapter 1 (Items 1, 2)","- Chapter 1, item 1: Jack and Bob Lakewood are awakened by a crash and discover their ship has hit something.
- Chapter 1, item 2: The brothers help a young woman evacuate and make their way to the deck.
- Relationship: Temporal and causal",Unique,Valid claim
"After assisting the captain in maintaining order and ensuring women and children boarded the lifeboats first, Bob and Jack were ordered by the captain to board the last lifeboat while he checked for remaining passengers below deck.","After assisting the captain in maintaining order and ensuring women and children boarded the lifeboats first, Bob and Jack were ordered by the captain to help him check for remaining passengers below deck.","These outline items show a progression of events during the evacuation process. The brothers first help the captain maintain order, then as the last boat is being prepared, the captain gives them a specific order, highlighting the changing situation on the sinking ship.","This corrupted fact changes the captain's order from telling the brothers to board the last lifeboat to asking them to help check for remaining passengers, which contradicts the outline.","Chapter 1 (Items 3, 4)","- Chapter 1, item 3: Bob and Jack assist the captain in maintaining order and ensuring women and children board the lifeboats first on the main deck.
- Chapter 1, item 4: As the last boat is being prepared, the captain orders the brothers to board while he checks for remaining passengers below deck.
- Relationship: Temporal and situational",Unique,Valid claim
"When the captain failed to return from checking for remaining passengers, Bob and Jack volunteered to search for him, descending into the sinking ship and finding him unconscious in a stateroom before carrying him back to the deck.","When the captain failed to return from checking for remaining passengers, Bob and Jack waited on the deck until a crew member found the unconscious captain in a stateroom and brought him back.",These outline items describe a sequence of events triggered by the captain's failure to return. The brothers' decision to search for him leads directly to their discovery of the unconscious captain and their subsequent action of carrying him back to the deck.,"This corrupted fact changes the brothers' active role in searching for and rescuing the captain to a passive one, contradicting the outline's description of their actions.","Chapter 1 (Items 5, 6)","- Chapter 1, item 5: When the captain doesn't return, Bob and Jack volunteer to search for him, descending into the sinking ship.
- Chapter 1, item 6: The brothers find the unconscious captain in a stateroom and carry him back to the deck.
- Relationship: Causal and sequential",Unique,Valid claim
"Bob and Jack receive a telegram delaying their return to college, followed by a letter explaining their uncle Silas's disappearance in Alaska.","Bob and Jack receive a letter explaining their uncle Silas's disappearance in Alaska, followed by a telegram delaying their return to college.","The chapter outline indicates a sequence of events where the brothers first receive a telegram delaying their return to college, which is then followed by a letter providing more detailed information about their uncle Silas's disappearance in Alaska. This sequence suggests a causal relationship between the two communications.","This corrupted fact reverses the order of events, contradicting the sequence presented in the chapter outline.",Chapter 2,"- Chapter 2, item 1: Bob and Jack receive a telegram delaying their return to college
- Chapter 2, item 1: They receive a letter explaining their uncle Silas's disappearance in Alaska
- Relationship: Temporal and causal",Unique,Valid claim
"After deciding to search for their uncle in Alaska, Bob and Jack bid farewell to their friends at Cold Springs and board a train to begin their journey.","After deciding to search for their uncle in Alaska, Bob and Jack bid farewell to their friends at Cold Springs and board a ship to begin their journey.","The chapter outline shows that the boys' decision to search for their uncle in Alaska directly leads to their departure from Cold Springs. This causal relationship is evident in their actions of saying goodbye to friends and boarding a train, which are the first steps in their journey to Alaska.","This corrupted fact incorrectly states that the boys board a ship instead of a train, which contradicts the information provided in the chapter outline.",Chapter 2,"- Chapter 2, item 2: The boys decide to go to Alaska to search for their uncle
- Chapter 2, item 3: Bob and Jack say goodbye to their friends at Cold Springs and board a train
- Relationship: Causal",Unique,Valid claim
"The group, stranded at sea in a lifeboat, discovers that they lack essential food and water supplies.","The group, stranded at sea in a lifeboat, discovers they have ample food and water supplies to last for weeks.","The chapter outline indicates that the group realizes they are stranded at sea, and simultaneously, they become aware that their lifeboat is not equipped with necessary food and water supplies. This combination of circumstances highlights the perilous situation they find themselves in.","This corrupted fact contradicts the information provided in the chapter outline by stating that the lifeboat has plenty of supplies, whereas the outline clearly indicates a lack of food and water.",Chapter 2,"- Chapter 2, item 6: The group realizes they are stranded at sea
- Chapter 2, item 6: Their lifeboat lacks food and water supplies
- Relationship: Situational",Unique,Valid claim
"As a snowstorm begins and makes navigation difficult, the group's struggle to keep their lifeboat afloat intensifies with the worsening weather conditions.","As a snowstorm begins and makes navigation difficult, the group easily maintains control of their lifeboat despite the worsening weather conditions.","The chapter outline describes a progression of events where a snowstorm initially makes navigation difficult, and as the storm worsens, the group faces increasing challenges in keeping their boat afloat. This demonstrates a causal relationship between the onset of the storm and the escalating struggle to maintain the boat's stability.","This corrupted fact contradicts the information provided in the chapter outline by suggesting that the group has no difficulty controlling the boat, whereas the outline clearly indicates their struggle to keep it afloat in the worsening storm.",Chapter 2,"- Chapter 2, item 6: A snowstorm begins, making navigation difficult
- Chapter 2, item 7: They struggle to keep the boat afloat in the worsening storm
- Relationship: Causal and progressive",Unique,Valid claim
"After Bob and Jack rescue their unconscious captain from the icy waters following a shipwreck, they are discovered by a French trapper named Baptist who leads them to a nearby cabin.","After Bob and Jack rescue their unconscious captain from the icy waters following a shipwreck, they are discovered by an Eskimo hunter who leads them to an igloo.","This fact combines two closely related events from Chapter 3. It shows the sequence of events following the shipwreck, highlighting how the boys' rescue of the captain is immediately followed by their own rescue by Baptist. This demonstrates the continuous chain of events in their survival story.","This corrupted fact changes the rescuer from a French trapper named Baptist to an Eskimo hunter, and the destination from a cabin to an igloo, which contradicts the information provided in the chapter outline.","Chapter 3 (Items 1, 2)","- Chapter 3, item 1: Bob and Jack survive the shipwreck and rescue their unconscious captain from the icy waters.
- Chapter 3, item 2: The boys are discovered by a French trapper named Baptist, who leads them to a nearby cabin.
- Relationship: Temporal and causal",Unique,Valid claim
"While being cared for by Baptist and his brothers in the cabin, the captain develops pneumonia, prompting Jacques to leave and fetch a doctor from 30 miles away.","While being cared for by Baptist and his brothers in the cabin, the captain develops frostbite, prompting Pierre to leave and fetch a shaman from a nearby village.",This fact combines two related events from Chapter 3. It shows how the care provided by Baptist and his brothers is connected to the discovery of the captain's pneumonia and the subsequent action taken by Jacques to seek medical help. This demonstrates the progression of the captain's condition and the trappers' response.,"This corrupted fact changes the captain's condition from pneumonia to frostbite, the brother who leaves from Jacques to Pierre, and the type of help sought from a doctor to a shaman, all of which contradict the information provided in the chapter outline.","Chapter 3 (Items 3, 4)","- Chapter 3, item 3: In the cabin, the boys and the captain are cared for by Baptist and his brothers, Pierre and Jacques.
- Chapter 3, item 4: The captain develops pneumonia, and Jacques leaves to fetch a doctor from 30 miles away.
- Relationship: Causal",Unique,Valid claim
"The doctor confirms the captain's pneumonia diagnosis and praises Pierre's nursing skills, which prove crucial when Pierre's quick action helps break the captain's fever during a crisis two weeks later.","The doctor confirms the captain's pneumonia diagnosis but criticizes Pierre's nursing skills, which leads to complications when the captain experiences a crisis two weeks later.",This fact combines two related events from Chapter 3. It shows the connection between the doctor's initial assessment of Pierre's skills and how these skills are later put to use during the captain's crisis. This demonstrates the importance of Pierre's role in the captain's care and recovery.,"This corrupted fact changes the doctor's praise of Pierre's skills to criticism and suggests that this leads to complications during the crisis, which contradicts the information provided in the chapter outline.","Chapter 3 (Items 5, 6)","- Chapter 3, item 5: The doctor arrives and confirms the pneumonia diagnosis, praising Pierre's nursing skills.
- Chapter 3, item 6: After about two weeks, the captain experiences a crisis, but Pierre's quick action helps break his fever.
- Relationship: Temporal and causal",Unique,Valid claim
